movie,processed_movie,expanded-genres,Associated Music Genres
   Kubo and the Two Strings (2016),kubo and the two strings,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Magnificent Seven (2016),the magnificent seven,"Action, Adventure, Western","acoustic,country,folk,punk,ambient,dubstep,hard-rock,alternative,bluegrass,blues,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Girl Next Door (2004),the girl next door,"Crime, Drama, Horror","piano,indie-pop,darkwave,dubstep,singer-songwriter,grime,noise,dark-ambient,acoustic,reggae,ambient,trap,metal,electronic,alternative,drum-and-bass,hip-hop,rock,indie,industrial"
   Seksmisja ( 1984),seksmisja,,
   Dial M for Murder (1954),dial m for murder,"Crime, Thriller","reggae,ambient,dubstep,synthwave,trap,drum-and-bass,grime,hip-hop,dark-ambient,chill,electronic"
"   L'armata Brancaleone (For Love and Gold, 1966)",l'armata brancaleone,"Adventure, Comedy, History","acoustic,folk,ambient,piano,classical,epic,opera,new-age,alternative,world-music,rock,symphony"
   Gnome Alone (2017),gnome alone,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Whiskey Tango Foxtrot (2016),whiskey tango foxtrot,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   We Are Your Friends (2015),we are your friends,"Drama, Music, Romance","acoustic,jazz,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Anna and the Apocalypse,anna and the apocalypse,"Comedy, Horror, Musical","darkwave,dance,ambient,r-n-b,pop,singer-songwriter,dark-ambient,noise,musical-theatre,metal,electronic,indie,industrial,soul"
   The House with a Clock in its Walls (2018),the house with a clock in its walls,"Comedy, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   October Sky (1999),october sky,"Biography, Drama, Family","acoustic,country,folk,piano,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   The Birds (1963),the birds,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Overlord,overlord,"Action, Horror, Sci-Fi","darkwave,punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,noise,rock,metal,chill,electronic,industrial"
   Like Water for Chocolate,like water for chocolate,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Goon (2011),goon,"Comedy, Drama, Sport","acoustic,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
   A Knight's Tale (2001),a knight's tale,"Action, Adventure, Romance","pop,rock,folk,dubstep,singer-songwriter,acoustic,ambient,hard-rock,new-age,metal,world-music,electronic,punk,romantic,drum-and-bass,alternative,r-n-b,indie,soul"
   Bad Boys (1983),bad boys,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Dredd (2012),dredd,"Action, Crime, Sci-Fi","punk,reggae,dubstep,hard-rock,ambient,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,rock,metal,chill,electronic"
   Kicking And Screaming,kicking and screaming,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Freedom Writers (2007),freedom writers,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Bicycle Thieves (1948),bicycle thieves,,
   Possum,possum,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Hush,hush,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Night of the Living Dead (1990),night of the living dead,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Banker Bilo,banker bilo,,
   Out of Africa (1985),out of africa,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Munich (2005),munich,"Action, Drama, History","piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie"
   Nacho libre (2006),nacho libre,"Comedy, Family, Sport","folk,edm,children,pop,singer-songwriter,kids,pump-up,hip-hop,rock,dance,upbeat,electronic,fun"
   The Tourist (2010),the tourist,"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   The Flowers of War (2012),the flowers of war,"Drama, History, Romance","acoustic,piano,ambient,folk,classical,epic,romantic,singer-songwriter,pop,rock,indie-pop,world-music,opera,alternative,symphony,r-n-b,indie,soul"
   Oblivion ( 2013 ),oblivion,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Mommy (2014),mommy,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   12 Strong (2018),12 strong,"Action, Drama, History","piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie"
   Capernaum (2018),capernaum,,
   Lords of Chaos (2018),lords of chaos,"Biography, Drama, Horror","acoustic,country,folk,piano,ambient,darkwave,metal,pop,singer-songwriter,rock,indie-pop,noise,alternative,dark-ambient,electronic,indie,industrial"
   The Nightingale ( 2018),the nightingale,"Adventure, Drama, Thriller","acoustic,indie,folk,ambient,piano,dubstep,chill,singer-songwriter,synthwave,indie-pop,drum-and-bass,new-age,alternative,dark-ambient,world-music,electronic,rock"
   Upside Down Magic,upside down magic,,
   Wag the Dog (1997),wag the dog,,
   Kiss Kiss Bang Bang,kiss kiss bang bang,"Comedy, Crime, Mystery","chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
   Stealing Beauty (1996),stealing beauty,"Drama, Mystery, Romance","piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Windstruck (2004),windstruck,,
   The Mist (2007),the mist,"Horror, Sci-Fi, Thriller","darkwave,ambient,dubstep,synth-pop,retro,synthwave,space,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   The Hunt (Jagten; 2012),the hunt,"Action, Horror, Thriller","darkwave,punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,noise,rock,metal,chill,electronic,industrial"
   An American Tail (1986),an american tail,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Nacional-Incelismo,nacional-incelismo,,
   The Cheetah Girls (franchise),the cheetah girls,,
   Kanlı Nigar (1981),kanlı nigar,,
   Miracle in Cell No. 7 (2019),miracle in cell no. 7,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   The Hidden Fortress ( 1958),the hidden fortress,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Tulip Fever (2017),tulip fever,"Drama, History, Romance","acoustic,piano,ambient,folk,classical,epic,romantic,singer-songwriter,pop,rock,indie-pop,world-music,opera,alternative,symphony,r-n-b,indie,soul"
   Strange Brew (1983),strange brew,"Comedy, Crime, Sci-Fi","reggae,ambient,dubstep,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,chill,electronic"
   The Butterfly Effect (2004),the butterfly effect,"Drama, Sci-Fi, Thriller","acoustic,piano,ambient,dubstep,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Kolya (1996),kolya,,
   Fanatyk (2017),fanatyk,,
   The Legend of Hercules ( 2014),the legend of hercules,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Central Station (1998),central station,,
   Love on a Leash,love on a leash,"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Red Heat (1988),red heat,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   A Simple Plan (1998),a simple plan,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Boys (1996),boys,"Drama, Mystery, Romance","piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Crows Zero (2007),crows zero,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Buck Rogers in the 25th Century (1979),buck rogers in the 25th century,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Mohabbatein (2000),mohabbatein,"Musical, Drama, Romance","acoustic,piano,folk,pop,romantic,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
   American Gangster (2007),american gangster,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Treasure of the Sierra Madre (1948),the treasure of the sierra madre,"Adventure, Drama, Western","acoustic,indie,folk,ambient,piano,country,blues,bluegrass,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Love & Friendship (2016),love & friendship,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Rise of the Planet of Apes,rise of the planet of apes,,
   The Last Song (2010),the last song,"Drama, Music, Romance","acoustic,jazz,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Breakfast at Tiffany's (1961),breakfast at tiffany's,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Margin Call,margin call,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   The Running Man (1987),the running man,"Action, Sci-Fi, Thriller","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   The Edge (1997),the edge,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Jersey Boys,jersey boys,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Henry: Portrait of a Serial Killer,henry: portrait of a serial killer,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Daredevil (2003),daredevil,"Action, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Jack the Giant Slayer ( 2013 ),jack the giant slayer,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Batman: Mask of the Phantasm,batman: mask of the phantasm,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Red Dragon (2002),red dragon,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   After,after,"Drama, Family, Fantasy","acoustic,piano,folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,kids,world-music,alternative,upbeat,indie,fun"
   Monster-In-Law (2005),monster-in-law,,
   Warrior (2011),warrior,"Action, Drama, Sport","acoustic,piano,punk,edm,dubstep,hard-rock,alternative,dance,pop,singer-songwriter,indie-pop,drum-and-bass,pump-up,hip-hop,rock,metal,electronic,indie"
   Meet Dave (2008),meet dave,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   The Nutty Professor (1963),the nutty professor,"Comedy, Romance, Sci-Fi","folk,ambient,romantic,pop,singer-songwriter,synthwave,synth-pop,electronic,retro,space,chill,r-n-b,indie,soul"
   The Peanut Butter Falcon,the peanut butter falcon,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The Ugly Truth (2009),the ugly truth,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Bir Zamanlar Anadolu'da (2011),bir zamanlar anadolu'da,,
   Dune (1984),dune,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   The Huntsman: Winter's War,the huntsman: winter's war,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
"   sex, lies, and videotape","sex, lies, and videotape",,
   Tigerland (2000),tigerland,"Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
   Get Carter (1971),get carter,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Highway (2002),highway,"Crime, Drama, Romance","piano,pop,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,romantic,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
   My Annoying Brother (2016),my annoying brother,,
   Sıfır Bir,sıfır bir,,
   Capone (2020),capone,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Zero Motivation (2014),zero motivation,,
"   Bagi, the Monster of Mighty Nature","bagi, the monster of mighty nature",,
   English Vinglish,english vinglish,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   American Ultra (2015),american ultra,"Action, Comedy","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   Alien vs. Predator (2004),alien vs. predator,"Action, Adventure, Horror","acoustic,darkwave,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,dark-ambient,noise,new-age,rock,metal,world-music,electronic,industrial"
   Taegukgi (2004),taegukgi,,
   Corpus Christi (Boże ciało; 2019),corpus christi,,
   The Werewolf Game: The Villagers Side,the werewolf game: the villagers side,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Mystery Alaska,mystery alaska,,
   Up in the Air (2009),up in the air,Mystery,"ambient,synthwave,downtempo,dark-ambient,chill,electronic,trip-hop"
   Hesher (2010),hesher,,
   Words and Pictures,words and pictures,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Dolittle (2020),dolittle,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   U-Turn (1997),u-turn,,
   The Wrong Missy (2020),the wrong missy,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
